15050100MUERITZSPARKASSE                                          17181WAREN                         201                        
15050200NEUBRANDENBURGER SPARKASSE                                17007NEUBRANDENBURG                201                        
15050300KREISSPARKASSE DEMMIN                                     17102DEMMIN                        201                        
15050400SPARKASSE UECKERRANDOW                                    17302PASEWALK                      201                        
15050500SPARKASSE VORPOMMERN                                      17462GREIFSWALD                    201                        
15051732SPARKASSE MECKLENBURGSTRELITZ                             17223NEUSTRELITZ                   521                        
15061618RAIFFEISENBANK WAREN                                      17182WAREN                         321                        
15061638RAIFFEISENBANK                                            17389ANKLAM                        321                        
15061658RAIFFEISENBANK PASEWALKSTRASBURG                          17331STRASBURG                     321                        
15061698RAIFFEISENBANK MALCHIN                                    17131MALCHIN                       321                        
15061738RAIFFEISENBANK                                            17222NEUSTRELITZ                   111                        
15061758NEUBRANDENBURGER BANK                                     17033NEUBRANDENBURG                061                        
15080000DRESDNER BANK                                             17003NEUBRANDENBURG                761                        
15091674VOLKSBANK DEMMIN                                          17101DEMMIN                        061                        
15091704VOLKSBANK UCKERMARK                                       17281PRENZLAU                      061                        
16000000LANDESZENTRALBANK                                         14409POTSDAM                       091                        
16010111BFG BANK                                                  14467POTSDAM                       131                        
16020086BAYER HYPO UND VEREINSBANK                                14467POTSDAM                       951                        
16040000COMMERZBANK                                               14402POTSDAM                       131                        
16050000MITTELBRANDENBURGISCHE SPARKASSE IN POTSDAM               14459POTSDAM                       201                        
16050101SPARKASSE PRIGNITZ                                        16921PRITZWALK                     201                        
16050202SPARKASSE OSTPRIGNITZRUPPIN                               16802NEURUPPIN                     201                        
16050500LBS OSTDEUTSCHE LANDESBAUSPARKASSE                        14463POTSDAM                       091                        
16050888SPARKASSE DAHMESPREEWALD                                  15702KOENIGS-WUSTERHAUSEN          201                        
16052500KREISSPARKASSE TELTOWFLAEMING                             14934LUCKENWALDE                   201                        
16060122VOLKS UND RAIFFEISENBANK PRIGNITZ                         19341PERLEBERG                     321                        
16061938RAIFFEISENBANK OSTPRIGNITZRUPPIN                          16803NEURUPPIN                     321                        
16061978BERLINER VOLKSBANK (EH RAIFFBK ORANIENBURG)               16515ORANIENBURG                   061                        
16062008VOLKSBANK TELTOWFLAEMING                                  14932LUCKENWALDE                   281                        
16062048RAIFFEISENBANK BELZIG                                     14801BELZIG                        321                        
16062058RAIFFEISENBANK                                            14641NAUEN                         321                        
16062073BRANDENBURGER BANK                                        14770BRANDENBURG                   321                        
16069027RAIFFEISENBANK WERDER                                     14536WERDER, HAVEL                 321                        
16080000DRESDNER BANK                                             14467POTSDAM                       761                        
16091994VOLKSBANK RATHENOW                                        14704RATHENOW                      321                        
17000000LANDESZENTRALBANK                                         15203FRANKFURT, ODER               091                        
17020086BAYER HYPO UND VEREINSBANK                                15230FRANKFURT, ODER               951                        
17040000COMMERZBANK                                               15230FRANKFURT, ODER               131                        
17052000SPARKASSE BARNIM                                          16204EBERSWALDE                    201                        
17052302STADTSPARKASSE SCHWEDT O                                  16284SCHWEDT                       521                        
17052472STADTSPARKASSE FRANKFURT ODER                             15203FRANKFURT, ODER               521                        
17054040SPARKASSE MAERKISCHODERLAND                               15344STRAUSBERG                    201                        
17055050SPARKASSE ODERSPREE                                       15873EISENHUETTENSTADT             201                        
17056060SPARKASSE UCKERMARK                                       17282PRENZLAU                      201                        
17062318RAIFFEISENBANK UCKERMARK                                  16303SCHWEDT                       321                        
17062348RAIFFEISENBANK WRIEZEN                                    16269WRIEZEN                       321                        
17062428RAIFFEISENBANK BEESKOW                                    15841BEESKOW                       321                        
17080000DRESDNER BANK                                             15205FRANKFURT, ODER               761                        
17092334BERLINER VOLKSBANK                                        16225EBERSWALDE                    061                        
17092404VOLKSBANK FUERSTENWALDESEELOW                             15501FUERSTENWALDE                 321                        
18000000LANDESZENTRALBANK                                         03002COTTBUS                       091                        
18020086BAYER HYPO UND VEREINSBANK                                03046COTTBUS                       951                        
18040000COMMERZBANK                                               03003COTTBUS                       131                        
18050000SPARKASSE SPREENEISSE                                     03006COTTBUS                       201                        
18051000SPARKASSE ELBEELSTER                                      03231FINSTERWALDE                  201                        
18052612SPARKASSE ELBEELSTER HST HERZBERG                         03232FINSTERWALDE                  521                        
18052632SPARKASSE ELBEELSTER HST BAD LIEBENWERDA                  03232FINSTERWALDE                  521                        
18052662SPARKASSE ELBEELSTER HST FINSTERWALDE                     03232FINSTERWALDE                  521                        
18055000SPARKASSE NIEDERLAUSITZ                                   01957SENFTENBERG                   201                        
18062638RAIFFEISENBANK BAD LIEBENWERDA                            04924BAD LIEBENWERDA               321                        
18062678NL BANK VOLKS UND RAIFFEISENBANK                          03231FINSTERWALDE                  321                        
18062698RAIFFEISENBANK OBERSPREEWALD                              03223VETSCHAU                      321                        
18062758VOLKS UND RAIFFEISENBANK FORST (EHEM RAIFFBK)             03149FORST, LAUSITZ                321                        
18080000DRESDNER BANK                                             03003COTTBUS                       761                        
18092684SPREEWALDBANK VOLKSBANKRAIFFEISENBANK                     15907LUEBBEN                       321                        
18092744VOLKSBANK SPREMBERGBAD MUSKAU                             03122SPREMBERG                     321                        
18092794VOLKS UND RAIFFEISENBANK COTTBUS                          03046COTTBUS                       321                        
20000000LANDESZENTRALBANK HAMBURG                                 20027HAMBURG                       091                        
20010020POSTBANK (GIRO)                                           22280HAMBURG                       241                        
20010111BFG BANK                                                  20303HAMBURG                       131                        
20010300DEUTSCHE VERKEHRSBANK                                     20095HAMBURG                       101                        
20010424DEPFA BANK BAUBODEN                                       20097HAMBURG                       091                        
20010500BNP PARIBAS                                               20095HAMBURG                       001                        
20010800HANSEATISCHE IBANK                                        22765HAMBURG                       091                        
20020200SEBANKEN HAMBURG                                          20010HAMBURG                       091                        
20020383DELBRUECK & CO                                            20011HAMBURG                       001                        
20020500JYSKE BANK FIL HAMBURG                                    20023HAMBURG                       091                        
20020700DEUTSCHE HYP FRANKFURTHAMBURG                             20308HAMBURG                       091                        
20020860BAYER HYPO UND VEREINSBANK (EHEM HYPO)                    20003HAMBURG                       701                        
20020900IDUNA BAUSPARKASSE                                        20351HAMBURG                       091                        
20030000VEREINS UND WESTBANK                                      20454HAMBURG                       681                        
20030300DONNER BANK CONRAD HINRICH                                20011HAMBURG                       061                        
20030400MARCARD STEIN & CO BANKIERS                               20030HAMBURG                       591                        
20030500BANK KREISS                                               20095HAMBURG                       091                        
20030600SYDBANK FIL HAMBURG                                       20459HAMBURG                       091                        
20030700MERCK FINCK & CO                                          20312HAMBURG                       101                        
20030800BEHNCKEBANK FIL D AKB BANK HAMBURG                        20099HAMBURG                       091                        
20030900BANKHAUS WOELBERN & CO                                    20459HAMBURG                       061                        
20040000COMMERZBANK                                               20421HAMBURG                       131                        
20040099COMMERZBANK                                               20421HAMBURG                       131                        
20041111COMDIRECT BANK                                            25449QUICKBORN, HOLST              131                        
20041133COMDIRECT BANK                                            25449QUICKBORN, HOLST              131                        
20050000HAMBURGISCHE LANDESBANK  GIROZENTRALE                     20079HAMBURG                       751                        
20050001HAMBURGISCHE LANDESBANK  GIROZENTRALE  ZW S               20079HAMBURG                       751                        
20050044HAMBURGISCHE LANDESBANK GIROZENTRALE FIRST                20079HAMBURG                       541                        
20050550HAMBURGER SPARKASSE                                       20454HAMBURG                       001                        
20055500WPS WERTPAPIERSERVICE BANK                                20079HAMBURG                       091                        
20060000DG BANK DEUTSCHE GENOSSENSCHAFTSBANK                      20045HAMBURG                       091                        
20069111NORDERSTEDTER BANK                                        22827NORDERSTEDT                   321                        
20069117RAIFFEISENBANK SUEDSTORMARN                               22113OSTSTEINBEK                   331                        
20069119RAIFFEISEN UND VOLKSBANK                                  24558HENSTEDT-ULZBURG              321                        
20069125RAIFFEISENBANK                                            24561KALTENKIRCHEN, HOLST          331                        
20069130RAIFFEISEN UND VOLKSBANK                                  24571BAD BRAMSTEDT                 321                        
20069140RAIFFEISENBANK                                            25451QUICKBORN, HOLST              331                        
20069144RAIFFEISENBANK                                            25371SEESTERMUEHE                  331                        
20069145VOLKS U RAIFFEISENBANK HALSTENBEKSCHENEFELD               22869SCHENEFELD HAMBURG            331                        
20069177RAIFFEISENBANK SUEDSTORMARN                               22927GROSSHANSDORF                 321                        
20069230RAIFFEISENBANK SCHLAMERSDORF                              23823SEEDORF BAD SEGEBERG          321                        
20069232RAIFFEISENBANK                                            24643STRUVENHUETTEN, HOLST         331                        
20069524ZEVENER VOLKSBANK                                         27404HEESLINGEN                    281                        
20069547ZEVENER VOLKSBANK                                         27404RHADE ZEVEN                   281                        
20069625VOLKSBANK                                                 27439GNARRENBURG                   281                        
20069641RAIFFEISENBANK OWSCHLAG                                   24811OWSCHLAG                      331                        
20069659VOLKSBANK                                                 27727VOLLERSODE                    281                        
20069780VOLKSBANK AHLERSTEDT                                      21699AHLERSTEDT                    281                        
20069782VOLKSBANK GEEST                                           21694HARSEFELD                     281                        
20069786VOLKSBANK KEHDINGEN                                       21703DROCHTERSEN                   281                        
20069800SPAR UND KREDITBANK                                       21714HAMMAH, NIEDERELBE            281                        
20069812VOLKSBANK                                                 21715FREDENBECK                    281                        
20069815VOLKSBANK                                                 21724OLDENDORF STADE               281                        
20069817VOLKSBANK BEDERKESASCHIFFDORF                             21775STEINAU, NIEDERELBE           281                        
20069836RAIFFEISENBANK                                            23628KRUMMESSE                     331                        
20069861RAIFFEISENBANK                                            23901RATZEBURG                     331                        
20069882RAIFFEISENBANK TRAVEMUENDE                                23524LUEBECK                       331                        
20069965VOLKSBANK WINSENER MARSCH                                 21414DRAGE, ELBE                   281                        
20069970VOLKSBANK NORDHEIDE                                       21423WINSEN, LUHE                  281                        
20069971VOLKSBANK HOLLENSTEDT                                     21275HOLLENSTEDT, NORDHEIDE        281                        
20069989VOLKSBANK WULFSEN                                         21445WULFSEN                       281                        
20070000DEUTSCHE BANK                                             20079HAMBURG                       631                        
20070024DEUTSCHE BANK 24                                          20079HAMBURG                       631                        
20070800SCHIFFSHYPOTHEKENBANK ZU LUEBECK                          20403HAMBURG                       091                        
20080000DRESDNER BANK                                             20349HAMBURG                       761                        
20080010DRESDNER BANK ZW A                                        20349HAMBURG                       761                        
20080011DRESDNER BANK ZW D                                        20349HAMBURG                       761                        
20080012DRESDNER BANK ZW F                                        20349HAMBURG                       761                        
20080013DRESDNER BANK ZW V                                        20349HAMBURG                       091                        
20080014DRESDNER BANK ZW Z                                        20349HAMBURG                       761                        
20080100DRESDNER BANK LATEINAMERIKA                               20305HAMBURG                       761                        
20090400DEUTSCHE GENOSSENSCHAFTSHYPOTHEKENBANK                    20009HAMBURG                       091                        
20090500NETBANK                                                   22704HAMBURG                       811                        
20090602DEUTSCHE APOTHEKER UND AERZTEBANK                         20009HAMBURG                       141                        
20090700EDEKABANK                                                 22206HAMBURG                       501                        
20090900PSD BANK                                                  22006HAMBURG                       911                        
20110022POSTBANK (SPAR)                                           22283HAMBURG                       091                        
20110401DEUTSCHE HYP                                              20431HAMBURG                       091                        
20110600BANKHAUS FISCHER & CO                                     20095HAMBURG                       091                        
20110700BANK OF TOKYOMITSUBISHI THE                               20302HAMBURG                       091                        
20110800BANK OF CHINA FIL HAMBURG                                 20422HAMBURG                       091                        
20120000BERENBERG JOH  GOSSLER & CO                               20354HAMBURG                       001                        
20120100WARBURG MM BANK                                           20095HAMBURG                       581                        
20120200BHFBANK                                                   20004HAMBURG                       601                        
20120400DEUTSCHER RING BAUSPARKASSE                               22756HAMBURG                       091                        
20120600GOYER & GOEPPEL                                           20354HAMBURG                       091                        
20120700HANSEATIC BANK                                            22177HAMBURG                       161                        
20120701HANSEATIC BANK ZW NORD                                    22177HAMBURG                       161                        
20130400HESSE NEWMAN & CO                                         20020HAMBURG                       001                        
20130600BARCLAYCARD BARCLAYS BANK                                 22702HAMBURG                       091                        
20190003HAMBURGER BANK VON 1861 VOLKSBANK                         20019HAMBURG                       101                        
20190109VOLKSBANK STORMARN ZENTRALE                               21009HAMBURG                       481                        
20190206VOLKSBANK HAMBURG OSTWEST                                 22701HAMBURG                       101                        
20190301VIERLAENDER VOLKSBANK                                     21037HAMBURG                       101                        
20190800MKB MITTELSTANDSKREDITBANK                                22547HAMBURG                       281                        
20210200BANK MELLI IRAN                                           20421HAMBURG                       191                        
20210300BANK SADERAT IRAN                                         20422HAMBURG                       091                        
20220100DEN NORSKE BANK                                           20305HAMBURG                       091                        
20220300VERBRAUCHERBANK                                           20033HAMBURG                       091                        
20220400WARBURG MM  HYPOTHEKENBANK                                20095HAMBURG                       091                        
20230300SCHROEDER OTTO M  BANK                                    20316HAMBURG                       091                        
20230400BERLINER BANK NDL D BANKGESELLSCHAFT BERLIN               20095HAMBURG                       691                        
20230600ISBANK FIL HAMBURG                                        20099HAMBURG                       061                        
20230800SUTOR MAX HEINR                                           20095HAMBURG                       091                        
20310200IBERO PLATINA BANK                                        20413HAMBURG                       191                        
20310300EUROPAEISCHIRANISCHE HANDELSBANK                          20095HAMBURG                       061                        
20310600ABN AMRO BANK                                             20001HAMBURG                       101                        
20320100MERIDIEN BIAO                                             20457HAMBURG                       091                        
20320500DANSKE BANK                                               20010HAMBURG                       091                        
20330200HANSEATISCHE INVESTITIONSBANK                             20020HAMBURG                       091                        
20330300INDONESISCHE OVERZEESE BANK DE                            20033HAMBURG                       091                        
20350000WESTDEUTSCHE LANDESBANK                                   20095HAMBURG                       081                        
20690500SPARDABANK HAMBURG HHALTONA                               22704HAMBURG                       931                        
20730000VEREINS UND WESTBANK HHHARBURG                            21050HAMBURG                       681                        
20730051VEREINS UND WESTBANK                                      21606BUXTEHUDE                     681                        
20730053VEREINS UND WESTBANK                                      21662STADE                         681                        
20730054VEREINS UND WESTBANK                                      21411WINSEN, LUHE                  681                        
20750000SPARKASSE HARBURGBUXTEHUDE                                21045HAMBURG                       001                        
21000000LANDESZENTRALBANK                                         24100KIEL                          091                        
21010111BFG BANK                                                  24012KIEL                          131                        
21010228BANK COMPANIE NORD                                        24012KIEL                          621                        
21030000VEREINS UND WESTBANK                                      24042KIEL                          681                        
21030092VEREINS UND WESTBANK                                      24334ECKERNFOERDE                  681                        
21030093VEREINS UND WESTBANK                                      24211PREETZ, HOLST                 681                        
21030094VEREINS UND WESTBANK                                      24230SCHOENKIRCHEN, HOLST          681                        
21030095VEREINS UND WESTBANK                                      23693EUTIN                         681                        
21040010COMMERZBANK                                               24100KIEL                          131                        
21042076COMMERZBANK                                               24331ECKERNFOERDE                  131                        
21050000LANDESBANK SCHLESWIGHOLSTEIN GIROZENTRALE                 24100KIEL                          091                        
21050170SPARKASSE KIEL                                            24027KIEL                          741                        
21050276BORDESHOLMER SPARKASSE                                    24114KIEL                          041                        
21051275BORDESHOLMER SPARKASSE                                    24578BORDESHOLM                    041                        
21051580SPARKASSE KREIS PLOEN                                     24301PLOEN                         001                        
21052090KREIS UND STADTSPARKASSE                                  24332ECKERNFOERDE                  001                        
21060237EVANGELISCHE DARLEHNSGENOSSENSCHAFT                       24019KIEL                          331                        
21060500SHL HYP HYPOTHEKENBANK                                    24037KIEL                          081                        
21064045RAIFFEISENBANK IM KREIS PLOEN                             24318LUETJENBURG                   331                        
21065074ECKERNFOERDER BANK VOLKSBANKRAIFFEISENBANK                24212GETTORF                       331                        
21067077KIELER VOLKSBANK                                          24218FLINTBEK                      331                        
21070020DEUTSCHE BANK                                             24011KIEL                          631                        
21070024DEUTSCHE BANK 24                                          24011KIEL                          631                        
21080050DRESDNER BANK                                             24018KIEL                          761                        
21090007KIELER VOLKSBANK                                          24027KIEL                          101                        
21090619DEUTSCHE APOTHEKER UND AERZTEBANK                         24017KIEL                          141                        
21090801BEAMTENBANK ZU KIEL                                       24103KIEL                          321                        
21090900PSD BANK                                                  24034KIEL                          911                        
21092023ECKERNFOERDER BANK VOLKSBANKRAIFFEISENBANK                24331ECKERNFOERDE                  481                        
21210111BFG BANK                                                  24534NEUMUENSTER                   131                        
21230085VEREINS UND WESTBANK                                      24517NEUMUENSTER                   681                        
21230086VEREINS UND WESTBANK                                      24570BAD BRAMSTEDT                 681                        
21240040COMMERZBANK                                               24503NEUMUENSTER                   131                        
21241540COMMERZBANK                                               24571BAD BRAMSTEDT                 131                        
21250000STADTSPARKASSE                                            24531NEUMUENSTER                   041                        
